osm_id,code,fclass,name,lat,lon
67032721,2007,library,Live Oak Public Library System Oglethorpe Mall Branch,32.0007275,-81.1185097
68064225,2701,tourist_info,4.1,34.35958,-84.192594
68065949,2701,tourist_info,3,34.3888184,-84.181368
68069766,2701,tourist_info,0.1,34.3524496,-84.1788344
68078841,2701,tourist_info,7.6,34.3854581,-84.1550836
68106332,2701,tourist_info,5.5,34.351293,-84.1921826
68409886,2204,park,Exchange Park,33.7045401,-84.2507443
69228514,2742,viewpoint,Overlook,34.8248421,-84.5850664
73774886,2302,fast_food,Checkers,34.7623338,-84.933521
153923179,2737,fort,Fort McAllister,31.8908351,-81.1960562
153929657,2737,fort,Fort Screven,32.0217615,-80.8443628
153999480,2255,golf_course,Houston Lake Country Club,32.5021713,-83.6657258
249490964,2004,post_box,,33.775672,-84.2953534
251150710,2304,pub,Brick Store Pub,33.7751446,-84.2958139
251156484,2601,bank,Ameris Bank,33.7772308,-84.2990827
251156504,2601,bank,Delta Community Credit Union,33.777438,-84.2969337
251157888,2601,bank,Wells Fargo,33.7758984,-84.2929137
251165087,2301,restaurant,Raging Burrito,33.7744662,-84.2955336
256073877,2082,school,Fernbank Elementary School,33.7785594,-84.3165682
259480600,2904,fountain,,33.753942,-84.3853563
259646380,2722,museum,Delafield Planetarium,33.7655166,-84.2939106
264134158,2701,tourist_info,,33.7536191,-84.3850117
276912773,2732,ruins,Lullwater Tower,33.8012848,-84.3144172
277950736,2732,ruins,,33.8038957,-84.3222193
278046234,2301,restaurant,Pho24 Vietnamese Noodle Soup,33.7896261,-84.3070836
278251293,2565,car_sharing,Zipcar,33.7768741,-84.2965937
279936013,2951,comms_tower,,33.8279825,-83.9537064
283192248,2303,cafe,New Moon Cafe,33.4761094,-81.9687185
283192845,2301,restaurant,Manny's,33.4759223,-81.9702791
283193369,2301,restaurant,Pho-Ramen’l,33.4764308,-81.9696743
283194399,2301,restaurant,Lennox On 10th,33.476216,-81.9701292
289003085,2401,hotel,Augusta Marriott at the Convention Center,33.4784092,-81.9671791
295437862,2701,tourist_info,Appalachian Trail / Benton MacKaye Trail,34.6477686,-84.19242
295441470,2701,tourist_info,Three Forks 4 / Hightower Gap,34.6631826,-84.1306526
295446325,2701,tourist_info,Cooper Gap 4.7 miles,34.6523539,-84.032675
295449258,2701,tourist_info,,34.6767941,-84.000649
295449389,2701,tourist_info,"Woody Gap, Neels Gap 11.0, Jarrard Gap 5.0, Blood Mnt 9",34.6784069,-83.9989906
295454749,2701,tourist_info,Jarrard Gap;Neels Gap 5;Woody Gap 5.6,34.7264915,-83.9649922
295458057,2742,viewpoint,,34.7370586,-83.9362131
295488168,2742,viewpoint,,34.7215707,-83.8564766
295488544,2724,memorial,"Senator Richard B. Russell Scenic Highway, 1969",34.7261805,-83.8472833
295488544,2701,tourist_info,"Senator Richard B. Russell Scenic Highway, 1969",34.7261805,-83.8472833
295488550,2701,tourist_info,Hogpen Gap 0.9,34.7261626,-83.8470675
295495900,2701,tourist_info,,34.7991813,-83.6903811
297097299,2422,camp_site,,34.9944014,-83.5997017
322122745,2082,school,R.L. Norton Elementary,33.8098983,-84.0098305
330859032,2204,park,Sweetwater Creek State Park,33.7667909,-84.646629
331525886,2901,toilet,,34.7065039,-83.9152871
331531369,2742,viewpoint,Lower DeSoto Falls,34.7071846,-83.9171182
331531518,2742,viewpoint,Upper DeSoto Falls,34.7170012,-83.9153509
331531552,2741,picnic_site,,34.7067822,-83.9152815
331554374,2742,viewpoint,,34.7596837,-83.9348344
331572419,2742,viewpoint,Overlook 1,34.7387871,-83.3885289
331572441,2742,viewpoint,Overlook 3,34.7398461,-83.3923311
331572446,2742,viewpoint,Overlook2,34.7394091,-83.3924598
331572736,2742,viewpoint,Overlook 6,34.7384926,-83.3932789
331572832,2742,viewpoint,Overlook 8,34.7370785,-83.3901988
331572837,2742,viewpoint,Overlook 10,34.7369475,-83.3892086
331572945,2742,viewpoint,Overlook 5,34.7403048,-83.3954602
331572980,2742,viewpoint,Overlook 4,34.7404106,-83.3946031
345681525,2742,viewpoint,,34.4279399,-84.2100133
347597543,2422,camp_site,,34.5817784,-84.2282771
347598934,2701,tourist_info,,34.6666941,-84.1718481
347599113,2422,camp_site,Wilson Gap,34.93831,-83.335467
347600997,2422,camp_site,,34.89876,-83.368466
347608265,2701,tourist_info,1.9,34.5785002,-84.2275512
347625712,2701,tourist_info,"Springer Mountain 3.4 miles, Hike Inn 1 mile",34.6017433,-84.2190004
347627902,2422,camp_site,,34.866982,-83.321279
347630688,2701,tourist_info,3.6,34.5869789,-84.2184966
347642431,2742,viewpoint,,34.5860158,-84.2136297
347660698,2701,tourist_info,4.3,34.587739,-84.211441
347672771,2422,camp_site,,34.9535132,-83.3104092
347684644,2701,tourist_info,"Hike Inn 4.8 Miles, Spring Mnt 7.3 Miles",34.5690672,-84.2422261
347687418,2742,viewpoint,Waterfall view,34.7636253,-83.712255
347694114,2742,viewpoint,,34.7924746,-83.7865713
347695616,2422,camp_site,,34.9483001,-83.31616
347699322,2701,tourist_info,2,34.5920151,-84.2087956
347719933,2422,camp_site,Campground,34.977203,-83.30271
347761332,2422,camp_site,,34.9446627,-83.3175303
347763258,2422,camp_site,,34.8939052,-83.3693312
347794199,2422,camp_site,,34.908085,-83.357196
347819785,2701,tourist_info,,34.8479518,-83.7980617
347844989,2422,camp_site,,34.9869785,-83.2911579
347898007,2701,tourist_info,1,34.5918139,-84.2093537
347907663,2701,tourist_info,Nimblewilll Gap,34.6090704,-84.2140779
347917915,2422,camp_site,,34.891953,-83.348534
347928839,2701,tourist_info,Three Forks / Springer Mnt 4.1,34.6629672,-84.1843962
347932798,2701,tourist_info,0.9,34.5711401,-84.233363
347938784,2701,tourist_info,15,34.5926737,-84.2085573
347945095,2701,tourist_info,Hightower Gap 4 / Long Creek Falls 1,34.6639243,-84.1838676
347946778,2422,camp_site,,34.867107,-83.331347
347958341,2733,archaeological,Track Rock Gap Petroglyph Site,34.882909,-83.877421
347963400,2701,tourist_info,3,34.5919166,-84.2090601
347964482,2422,camp_site,Andrews Cove Campsite,34.7784173,-83.7364376
347968312,2701,tourist_info,,34.8164653,-83.7271477
347972722,2422,camp_site,,34.910616,-83.354807
347982193,2701,tourist_info,4.2,34.5865634,-84.2112588
347982507,2701,tourist_info,5,34.5916746,-84.2094587
347989059,2422,camp_site,Campground,34.979293,-83.297885
347992892,2701,tourist_info,Mark Trail Wilderness,34.8438079,-83.7951682
349107587,2701,tourist_info,Shelter,34.7370668,-83.9483446
356885920,2950,tower,WLSB-AM (Copperhill),34.990358,-84.3838122
357093291,2204,park,Below Dam Recreation Area,33.6554101,-82.1984543
357112157,2723,monument,Colonel Cleveland Monument,34.6131387,-83.1936684
358679043,2204,park,Eufaula National Wildlife Refuge,31.9843247,-85.0818748
358679181,2082,school,Air Line School,34.3531568,-83.7607322
358679319,2082,school,Boys and Girls Club,31.5980146,-81.8784945
358679392,2204,park,Andrew Jackson Monument,31.6915579,-84.4542187
358679550,2082,school,Antioch School,32.0946485,-81.2395572
358679553,2082,school,Antioch School,32.1068631,-81.8353925
358679562,2204,park,Aqualand Park,34.2070449,-83.9682385
358679583,2082,school,Archbishop R Ryan Memorial School,33.7550283,-84.3716306
358679595,2204,park,Ardsley Park,32.0460425,-81.1020565
358679633,2082,school,Arnco-Sargent Elementary School,33.43817,-84.8735487
358679665,2204,park,Arrowhead Park,32.8204175,-83.8012956
358679706,2204,park,Athens Park,34.2376,-83.9724055
358679715,2082,school,Atlanta Christian College,33.6851087,-84.4757627
358679718,2204,park,Atlanta Memorial Park,33.8128828,-84.4018719
358679725,2082,school,Atwater School,32.9529077,-84.3399197
358679728,2082,school,Atwell School,33.1445915,-82.2909569
358679828,2110,hospital,Bainbridge Probation Substance Abuse Treatment Center,30.9826866,-84.6343607
358679834,2082,school,Baker Academy,31.339623,-84.5613031
358679838,2082,school,Baker Academy,32.2682182,-83.4843405
358679882,2082,school,Baldwin High School,33.0718676,-83.2590945
358679929,2082,school,Banks School,32.8204172,-83.6296249
358679932,2082,school,Banks School,34.060393,-82.729025
358679948,2082,school,Barden School,32.788752,-83.7060166
358679977,2082,school,Barnesville Academy,33.0351276,-84.1474158
358680061,2204,park,Battle Park,32.3869899,-84.9498751
358680248,2082,school,Belmont Hills School,33.8917702,-84.5360433
358680317,2082,school,Benton School,34.1078884,-83.4346044
358680338,2082,school,Bernd School,32.8140279,-83.5676792
358680349,2082,school,Berry Elementary School,34.3282754,-85.2347758
358680633,2204,park,Bethel Park,34.2275998,-83.9854617
358680937,2082,school,Black Creek School,32.1652272,-81.4901588
358680966,2204,park,Blackbeard Island National Wildlife Refuge,31.5080618,-81.211229
358681031,2082,school,Blounts Chapel School,33.0720958,-82.0342852
358681075,2082,school,Blythe High School,33.2981981,-82.2034547
358681104,2082,school,Boggs Academy,33.1482031,-82.1670655
358681283,2082,school,Branton School,33.3184753,-82.1584537
358681323,2082,school,Brenau Academy,34.3034348,-83.8223997
358681370,2082,school,Briarwood Academy,33.427083,-82.5762421
358681372,2903,drinking_water,Brickhill Bluff,30.8974573,-81.4448171
358681372,2422,camp_site,Brickhill Bluff,30.8974573,-81.4448171
358681521,2082,school,Brown Avenue School,32.4568099,-84.9613201
358681657,2082,school,Bruce School,32.7987512,-83.6515706
358681727,2082,school,Buckhead Academy,32.8526582,-82.0990079
358681802,2082,school,Bunche School,34.2598171,-84.4885396
358681865,2082,school,Burnt Mill School,34.7184129,-85.3260682
358681964,2204,park,C C Hall Monument,34.3878817,-83.2259884
358682136,2082,school,Candler Street School,34.3076014,-83.8240666
358682149,2082,school,Cannon Bluff School,31.5777198,-81.3906583
358682157,2082,school,Canoochee School,32.2385227,-81.8737259
358682163,2082,school,Capitol View Elementary School,33.7156631,-84.4068716
358682296,2082,school,KIPP West Atlanta Young Scholars Academy,33.7570509,-84.417428
358682299,2082,school,Carter School,33.8470483,-84.3560369
358682318,2082,school,Carver School,31.1500799,-85.0348184
358682320,2082,school,Carver School,32.8273615,-83.6376805
358682323,2082,school,Carver Vocational School,33.718513,-84.3889905
358682344,2082,school,Cataula School,32.667358,-84.869653
358682418,2082,school,Cedar Grove School,33.6239994,-84.6835448
358682500,2082,school,Center Junior High School,31.2229953,-82.3581846
358682530,2082,school,Central High School,33.552611,-85.0699442
358682533,2082,school,Central Gwinnett High School,33.9489926,-83.9996298
358682540,2082,school,Central Middle School,32.7446109,-81.653443
358682542,2082,school,Central Park School,33.6817753,-84.4463172
358682549,2082,school,Central School,33.4440271,-82.2562333
358682552,2082,school,South Fulton Parks & Rec Old Cliftondale Elementary School,33.6512209,-84.5971541
358682556,2082,school,Central School,34.1140002,-82.8770842
358682685,2204,park,Chastain Memorial Park,33.8712146,-84.3910383
358682699,2082,school,Chattanooga Valley Middle School,34.9292431,-85.3588474
358682719,2204,park,Chehaw Park,31.7735044,-84.1276853
358682729,2204,park,Chenube Indian Village Monument,31.8743053,-84.4960903
358682747,2204,park,Cherokee Memorial,34.3278827,-82.9681992
358682757,2082,school,Cherry Grove School,33.7676268,-82.6984733
358682782,2204,park,Chestnut Ridge Park,34.1837118,-83.9693496
358682809,2082,school,Chipley School,32.8679754,-84.8532701
358682857,2082,school,Church Street School,33.6767755,-84.4449282
358682907,2082,school,Clark College,33.7483398,-84.4119502
358682925,2082,school,Clatin Elementary School,32.4756982,-84.9882651
358682952,2204,park,Claystone Park,32.8290286,-83.7762951
358682979,2082,school,Clement School,33.7603843,-84.4377066
358682996,2082,school,Cleveland Avenue Elementary School,33.6814972,-84.3913153
358683046,2204,park,Cloudland Canyon State Park,34.6536924,-85.4727397
358683048,2204,park,Cloudland Canyon State Park,34.8423001,-85.4824627
358683051,2082,school,Cloudland School,34.5236958,-85.4810719
358683072,2082,school,Clubview Elementary School,32.4927299,-84.9489521
358683074,2082,school,Clyattville Lake Park School,30.7257603,-83.2826501
358683102,2082,school,Central Fellowship Christian Academy,32.6890316,-83.6343496
358683107,2204,park,Cochran Park,33.7192742,-84.4285392
358683179,2082,school,College Street School,33.6556647,-84.4085378
358683322,2082,school,Conley Hills School,33.6848308,-84.4565954
358683325,2082,school,Connally Elementary School,33.7320467,-84.4407007
358683403,2084,college,Georgia Northwestern Technical College,34.2250945,-85.1710616
358683546,2082,school,Country Side,32.0107674,-81.0734454
